design,pilot_points,half_log_span,effective_span,effective_span_ratio,gaussian_kl,equal_prior_bayes_error,max_pilot_gap,standard_error
centered,9,0.5,0.07445394184676096,0.14890788369352193,4.3437252942380567e-05,0.49814080615970574,2.88545886007463e-05,0.005
uniform_log_scale,9,0.5,0.3722697092338048,0.7445394184676096,0.0282421534123734,0.4527041738427546,0.0008145915733629994,0.005
endpoint_heavy,9,0.5,0.48549177170732344,0.9709835434146469,0.08221919529411362,0.4196632587030757,0.0008145915733629994,0.005
