grid_points,max_grid_width,max_target_secant_slack_per_unit_mass,lower,upper,width,target_truth,covered,feasible
11,0.1050000000000001,0.5366382968292236,0.15873851396135114,0.18250455801828447,0.023766044056933333,0.18011362604389727,1,1
21,0.0525000000000001,0.13415957420730598,0.17786283672553307,0.1805556962152578,0.002692859489724725,0.18011362604389727,1,1
41,0.026250000000000107,0.033539893551826454,0.179183798031669,0.18050909634630657,0.0013252983146375685,0.18011362604389727,1,1
81,0.013125000000000053,0.008384973387956613,0.17938503124332136,0.18049819244409263,0.0011131612007712621,0.18011362604389727,1,1
161,0.006562500000000027,0.0020962433469891534,0.17943021038329499,0.18049569563961423,0.0010654852563192485,0.18011362604389727,1,1
