domain,method,evaluations,median_absolute_error,coverage,median_width
IC,continuous_cert_1.0x,12,0.00452301592473614,0.25,0.00705234598222565
IC,continuous_cert_2.0x,12,0.009108723805299174,1.0,0.07750830617787627
IC,continuous_cert_3.0x,12,0.007048524838402237,1.0,0.13272347221444358
IC,continuous_cert_4.0x,12,0.004446664170267289,1.0,0.18235036539705168
IC,one_power,12,0.005928678488085953,,
IC,one_power_bootstrap,12,0.005928678488085953,0.5833333333333334,0.010932109879605023
IC,two_power,12,0.005928672997587564,,
NMT,continuous_cert_1.0x,15,0.05761667937979248,0.0,0.002220497077901007
NMT,continuous_cert_2.0x,15,0.04663644586854071,0.6,0.09690652027782809
NMT,continuous_cert_3.0x,15,0.041868215697567934,0.9333333333333333,0.14592979491257912
NMT,continuous_cert_4.0x,15,0.03773549684538047,1.0,0.18626492443844694
NMT,one_power,15,0.04170064514884131,,
NMT,one_power_bootstrap,15,0.04170064514884131,0.26666666666666666,0.0397022017235355
NMT,two_power,15,0.049484941289370254,,
