dimension,n_samples,repetitions,oracle_risk,mean_ols_risk,ols_standard_error,debiased_mean,debiased_standard_error,relative_debias_error,pilot,target_certificate_lower,target_certificate_upper,target_covered
16,8000,5000,0.0349766742237325,0.03504725302453525,3.5055297943435593e-07,0.03497714975557756,3.498517858262862e-07,1.3595684999145874e-05,1,,,
24,8000,5000,0.03122321125421973,0.03131759688053109,3.8383504016375924e-07,0.031223632344322468,3.826833910871334e-07,1.3486444405463871e-05,1,,,
32,8000,5000,0.02918979617879036,0.029307159184149292,4.2703284114106065e-07,0.029189915892001178,4.25324496233383e-07,4.101200641537517e-06,1,,,
48,8000,5000,0.026990332165549424,0.02715334236478302,4.7119180093149075e-07,0.026990401943041604,4.6836429668787134e-07,2.5852772671530744e-06,1,,,
64,8000,5000,0.02579419467314388,0.02600283047263426,5.331825632425792e-07,0.02579478182277195,5.289165694874192e-07,2.2762859453795414e-05,1,,,
96,8000,5000,0.024490937728471864,0.02478852649849013,6.181157804747994e-07,0.024491026993070066,6.106974638195198e-07,3.6448011584422346e-06,1,,,
128,8000,5000,0.023774954574201323,0.024162738669641942,6.966630944849906e-07,0.02377608651940889,6.855150914728542e-07,4.761082525028826e-05,0,,,
192,8000,5000,0.022985241234557204,0.023551954934379307,8.164481736189239e-07,0.022986637351256313,7.968509678013425e-07,6.0739701831291626e-05,0,,,
256,8000,5000,0.022545108309706925,0.023289550159038632,9.440920225479001e-07,0.022544191384102526,9.138773009861721e-07,-4.0670711881407584e-05,0,0.021501204815294713,0.022678767367005612,1
