domain,curve,pilot_fraction,pilot_points,target_horizon,method,prediction,absolute_error,lower,upper,width,covered,minimum_pilot_radius
NMT,"log_perplexity|6 Enc, 6 Dec",0.7,8,8.0,one_power,0.2957319644852147,0.04442429320709296,nan,nan,,,0.010375409316060655
NMT,"log_perplexity|6 Enc, 6 Dec",0.7,8,8.0,two_power,0.27539864949885684,0.06475760819345083,nan,nan,,,0.010375409316060655
NMT,"log_perplexity|6 Enc, 6 Dec",0.7,8,8.0,one_power_bootstrap,0.2957319644852147,0.04442429320709296,0.2756038045811462,0.3153060063046817,0.0397022017235355,0,0.010375409316060655
NMT,"log_perplexity|6 Enc, 6 Dec",0.85,9,4.0,continuous_cert_1.0x,0.3072489759185256,0.03290728177378205,0.306869390632986,0.30762856120406523,0.0007591705710792152,0,0.013479705498485383
NMT,"log_perplexity|6 Enc, 6 Dec",0.85,9,4.0,continuous_cert_2.0x,0.30519670979225966,0.034959547900048016,0.25679874400687713,0.35359467557764224,0.0967959315707651,1,0.013479705498485383
NMT,"log_perplexity|6 Enc, 6 Dec",0.85,9,4.0,continuous_cert_3.0x,0.305972779073642,0.034183478618665664,0.23453922320749504,0.377406334939789,0.14286711173229394,1,0.013479705498485383
NMT,"log_perplexity|6 Enc, 6 Dec",0.85,9,4.0,continuous_cert_4.0x,0.3079922665616098,0.0321639911306979,0.21776274981839241,0.39822178330482716,0.18045903348643474,1,0.013479705498485383
NMT,"log_perplexity|6 Enc, 6 Dec",0.85,9,4.0,one_power,0.3102403565743159,0.02991590111799175,nan,nan,,,0.013479705498485383
NMT,"log_perplexity|6 Enc, 6 Dec",0.85,9,4.0,two_power,0.3038764875558504,0.03627977013645728,nan,nan,,,0.013479705498485383
NMT,"log_perplexity|6 Enc, 6 Dec",0.85,9,4.0,one_power_bootstrap,0.3102403565743159,0.02991590111799175,0.2989548033173068,0.32654308497016454,0.02758828165285776,0,0.013479705498485383
NMT,"log_perplexity|28 Enc, 6 Dec",0.5,5,32.0,continuous_cert_1.0x,0.23104756803609955,0.07560507811774658,0.22911227594870065,0.23298286012349845,0.0038705841747977976,0,0.008299331387437488
NMT,"log_perplexity|28 Enc, 6 Dec",0.5,5,32.0,continuous_cert_2.0x,0.26434116947455943,0.0423114766792867,0.19823317077751168,0.3304491681716072,0.1322159973940955,1,0.008299331387437488
NMT,"log_perplexity|28 Enc, 6 Dec",0.5,5,32.0,continuous_cert_3.0x,0.28519454664446164,0.021458099509384487,0.1837187812653867,0.3866703120235365,0.2029515307581498,1,0.008299331387437488
NMT,"log_perplexity|28 Enc, 6 Dec",0.5,5,32.0,continuous_cert_4.0x,0.2993954585146485,0.0072571876391976375,0.17276400853961113,0.4260269084896859,0.2532628999500748,1,0.008299331387437488
NMT,"log_perplexity|28 Enc, 6 Dec",0.5,5,32.0,one_power,0.22670237557107362,0.07995027058277251,nan,nan,,,0.008299331387437488
NMT,"log_perplexity|28 Enc, 6 Dec",0.5,5,32.0,two_power,0.2271302373069503,0.07952240884689582,nan,nan,,,0.008299331387437488
NMT,"log_perplexity|28 Enc, 6 Dec",0.5,5,32.0,one_power_bootstrap,0.22670237557107362,0.07995027058277251,0.2198802000809296,0.2926550430617707,0.07277484298084111,0,0.008299331387437488
NMT,"log_perplexity|28 Enc, 6 Dec",0.7,7,8.0,continuous_cert_1.0x,0.23104756803640245,0.07560507811744369,0.2291122759484719,0.232982860124333,0.0038705841758611137,0,0.008299331387475668
NMT,"log_perplexity|28 Enc, 6 Dec",0.7,7,8.0,continuous_cert_2.0x,0.26077227709676304,0.04588036905708309,0.21807632465929042,0.30346822953423563,0.08539190487494522,0,0.008299331387475668
NMT,"log_perplexity|28 Enc, 6 Dec",0.7,7,8.0,continuous_cert_3.0x,0.2692477624267245,0.03740488372712164,0.20899625650951492,0.32949926834393406,0.12050301183441914,1,0.008299331387475668
NMT,"log_perplexity|28 Enc, 6 Dec",0.7,7,8.0,continuous_cert_4.0x,0.2755952386676853,0.031057407486160815,0.20031001388123545,0.3508804634541352,0.15057044957289975,1,0.008299331387475668
NMT,"log_perplexity|28 Enc, 6 Dec",0.7,7,8.0,one_power,0.24436303430534123,0.0622896118485049,nan,nan,,,0.008299331387475668
NMT,"log_perplexity|28 Enc, 6 Dec",0.7,7,8.0,two_power,0.2443630098408384,0.06228963631300774,nan,nan,,,0.008299331387475668
NMT,"log_perplexity|28 Enc, 6 Dec",0.7,7,8.0,one_power_bootstrap,0.24436303430534123,0.0622896118485049,0.22817831721903303,0.2679127218387164,0.03973440461968336,0,0.008299331387475668
NMT,"log_perplexity|28 Enc, 6 Dec",0.85,8,4.0,continuous_cert_1.0x,0.2631621868304491,0.04349045932339701,0.26205193829149864,0.26427243536939965,0.002220497077901007,0,0.00995314151937005
NMT,"log_perplexity|28 Enc, 6 Dec",0.85,8,4.0,continuous_cert_2.0x,0.27510338674107154,0.03154925941277459,0.23526524553721428,0.3149415279449288,0.07967628240771452,1,0.00995314151937005
NMT,"log_perplexity|28 Enc, 6 Dec",0.85,8,4.0,continuous_cert_3.0x,0.28003309315998065,0.02661955299386548,0.223777269051429,0.3362889172685323,0.11251164821710327,1,0.00995314151937005
NMT,"log_perplexity|28 Enc, 6 Dec",0.85,8,4.0,continuous_cert_4.0x,0.28348496019157843,0.023167685962267703,0.21364085602516053,0.3533290643579964,0.13968820833283585,1,0.00995314151937005
NMT,"log_perplexity|28 Enc, 6 Dec",0.85,8,4.0,one_power,0.26763092020053225,0.03902172595331388,nan,nan,,,0.00995314151937005
NMT,"log_perplexity|28 Enc, 6 Dec",0.85,8,4.0,two_power,0.2676308812473571,0.03902176490648901,nan,nan,,,0.00995314151937005
NMT,"log_perplexity|28 Enc, 6 Dec",0.85,8,4.0,one_power_bootstrap,0.26763092020053225,0.03902172595331388,0.24819274727850954,0.28268873665534344,0.0344959893768339,0,0.00995314151937005
NMT,"log_perplexity|6 Enc, 28 Dec",0.5,6,32.0,continuous_cert_1.0x,0.198058069077767,0.09881955399915612,0.1959327865737048,0.20018335158182918,0.004250565008124374,0,0.006078675143538699
NMT,"log_perplexity|6 Enc, 28 Dec",0.5,6,32.0,continuous_cert_2.0x,0.22517775695970327,0.07169986611721985,0.17325072921355647,0.27710478470585004,0.10385405549229357,0,0.006078675143538699
NMT,"log_perplexity|6 Enc, 28 Dec",0.5,6,32.0,continuous_cert_3.0x,0.2390720215839818,0.05780560149294131,0.16405679461127715,0.31408724855668646,0.15003045394540931,1,0.006078675143538699
NMT,"log_perplexity|6 Enc, 28 Dec",0.5,6,32.0,continuous_cert_4.0x,0.25142956650757786,0.04544805656934525,0.1562272661875725,0.34663186682758323,0.19040460064001075,1,0.006078675143538699
NMT,"log_perplexity|6 Enc, 28 Dec",0.5,6,32.0,one_power,0.24141345196523667,0.055464171111686444,nan,nan,,,0.006078675143538699
NMT,"log_perplexity|6 Enc, 28 Dec",0.5,6,32.0,two_power,0.19443565624822529,0.10244196682869783,nan,nan,,,0.006078675143538699
NMT,"log_perplexity|6 Enc, 28 Dec",0.5,6,32.0,one_power_bootstrap,0.24141345196523667,0.055464171111686444,0.18660165499711218,0.27853079244808854,0.09192913745097636,0,0.006078675143538699
NMT,"log_perplexity|6 Enc, 28 Dec",0.7,8,8.0,continuous_cert_1.0x,0.23926094369713063,0.05761667937979248,0.23721866411419737,0.24130322328006387,0.004084559165866503,0,0.008292339457831376
NMT,"log_perplexity|6 Enc, 28 Dec",0.7,8,8.0,continuous_cert_2.0x,0.2502411772083824,0.04663644586854071,0.20178791706946836,0.29869443734729645,0.09690652027782809,1,0.008292339457831376
NMT,"log_perplexity|6 Enc, 28 Dec",0.7,8,8.0,continuous_cert_3.0x,0.2550094073793552,0.041868215697567934,0.1920324096842106,0.3179864050744997,0.12595399539028912,1,0.008292339457831376
NMT,"log_perplexity|6 Enc, 28 Dec",0.7,8,8.0,continuous_cert_4.0x,0.25914212623154265,0.03773549684538047,0.18248471403464858,0.33579953842843674,0.15331482439378816,1,0.008292339457831376
NMT,"log_perplexity|6 Enc, 28 Dec",0.7,8,8.0,one_power,0.25492093540366906,0.041956687673254056,nan,nan,,,0.008292339457831376
NMT,"log_perplexity|6 Enc, 28 Dec",0.7,8,8.0,two_power,0.24739268178755286,0.049484941289370254,nan,nan,,,0.008292339457831376
NMT,"log_perplexity|6 Enc, 28 Dec",0.7,8,8.0,one_power_bootstrap,0.25492093540366906,0.041956687673254056,0.23605325987802853,0.2750549220975459,0.03900166221951737,0,0.008292339457831376
NMT,"log_perplexity|6 Enc, 28 Dec",0.85,9,4.0,continuous_cert_1.0x,0.2620452000731569,0.03483242300376621,0.2612291549930307,0.2628612451532831,0.0016320901602523974,0,0.010060938541634772
NMT,"log_perplexity|6 Enc, 28 Dec",0.85,9,4.0,continuous_cert_2.0x,0.26556911977265885,0.03130850330426427,0.2241974997100493,0.3069407398352684,0.08274324012521908,1,0.010060938541634772
NMT,"log_perplexity|6 Enc, 28 Dec",0.85,9,4.0,continuous_cert_3.0x,0.26730555395843386,0.029572069118489253,0.20946563879954788,0.32514546911731984,0.11567983031777196,1,0.010060938541634772
NMT,"log_perplexity|6 Enc, 28 Dec",0.85,9,4.0,continuous_cert_4.0x,0.2697742019245933,0.027103421152329832,0.19889890354979942,0.3406495002993871,0.1417505967495877,1,0.010060938541634772
NMT,"log_perplexity|6 Enc, 28 Dec",0.85,9,4.0,one_power,0.26612498788699024,0.030752635189932875,nan,nan,,,0.010060938541634772
NMT,"log_perplexity|6 Enc, 28 Dec",0.85,9,4.0,two_power,0.2661250214541082,0.0307526016228149,nan,nan,,,0.010060938541634772
NMT,"log_perplexity|6 Enc, 28 Dec",0.85,9,4.0,one_power_bootstrap,0.26612498788699024,0.030752635189932875,0.25587180932313763,0.2759336216078233,0.020061812284685676,0,0.010060938541634772
NMT,log_perplexity|Dec-only,0.5,6,32.0,continuous_cert_1.0x,0.2807872418205746,0.10153728510250232,0.2803740918009855,0.28120039184016365,0.0008263000391781627,0,0.009697257877857884
NMT,log_perplexity|Dec-only,0.5,6,32.0,continuous_cert_2.0x,0.27291483279288786,0.10940969413018903,0.18005548606553348,0.3657741795202422,0.18571869345470873,0,0.009697257877857884
NMT,log_perplexity|Dec-only,0.5,6,32.0,continuous_cert_3.0x,0.27730759985845416,0.10501692706462273,0.15717498503359276,0.3974402146833156,0.24026522964972283,1,0.009697257877857884
NMT,log_perplexity|Dec-only,0.5,6,32.0,continuous_cert_4.0x,0.28496096238119073,0.09736356454188616,0.14826349503552275,0.42165842972685874,0.273394934691336,1,0.009697257877857884
NMT,log_perplexity|Dec-only,0.5,6,32.0,one_power,0.28017417549464063,0.10215035142843626,nan,nan,,,0.009697257877857884
NMT,log_perplexity|Dec-only,0.5,6,32.0,two_power,0.28017417750683554,0.10215034941624135,nan,nan,,,0.009697257877857884
NMT,log_perplexity|Dec-only,0.5,6,32.0,one_power_bootstrap,0.28017417549464063,0.10215035142843626,0.22789563101083304,0.31221206194430995,0.0843164309334769,0,0.009697257877857884
NMT,log_perplexity|Dec-only,0.7,8,8.0,continuous_cert_1.0x,0.3400878982169884,0.042236628706088464,0.3398988719992849,0.34027692443469193,0.00037805243540700584,0,0.013881229106507428
NMT,log_perplexity|Dec-only,0.7,8,8.0,continuous_cert_2.0x,0.32807992731938773,0.05424459960368916,0.26254289736531106,0.39361695727346446,0.1310740599081534,1,0.013881229106507428
NMT,log_perplexity|Dec-only,0.7,8,8.0,continuous_cert_3.0x,0.32989267220646257,0.05243185471661432,0.2385327987212218,0.42125254569170334,0.18271974697048154,1,0.013881229106507428
NMT,log_perplexity|Dec-only,0.7,8,8.0,continuous_cert_4.0x,0.32807859885462937,0.054245928068447524,0.2173821786922899,0.4387750190169688,0.2213928403246789,1,0.013881229106507428
NMT,log_perplexity|Dec-only,0.7,8,8.0,one_power,0.3406238817742356,0.04170064514884131,nan,nan,,,0.013881229106507428
NMT,log_perplexity|Dec-only,0.7,8,8.0,two_power,0.3406239260315861,0.0417006008914908,nan,nan,,,0.013881229106507428
NMT,log_perplexity|Dec-only,0.7,8,8.0,one_power_bootstrap,0.3406238817742356,0.04170064514884131,0.3170359107725049,0.3610825791515105,0.04404666837900556,0,0.013881229106507428
NMT,log_perplexity|Dec-only,0.85,9,4.0,continuous_cert_1.0x,0.3546816593692993,0.027642867553777595,0.35454005590418947,0.35482326283440907,0.00028320693021960386,0,0.016662526903840503
NMT,log_perplexity|Dec-only,0.85,9,4.0,continuous_cert_2.0x,0.35282481555499956,0.02949971136807733,0.29698018195929743,0.40866944915070175,0.11168926719140432,1,0.016662526903840503
NMT,log_perplexity|Dec-only,0.85,9,4.0,continuous_cert_3.0x,0.3503745005268041,0.03195002639627281,0.26874609842791847,0.43200290262568974,0.16325680419777128,1,0.016662526903840503
NMT,log_perplexity|Dec-only,0.85,9,4.0,continuous_cert_4.0x,0.34956482980245235,0.03275969712062454,0.2475241306974301,0.4516055289074746,0.20408139821004448,1,0.016662526903840503
NMT,log_perplexity|Dec-only,0.85,9,4.0,one_power,0.35484516982180603,0.027479357101270863,nan,nan,,,0.016662526903840503
NMT,log_perplexity|Dec-only,0.85,9,4.0,two_power,0.35484513179541816,0.027479395127658734,nan,nan,,,0.016662526903840503
NMT,log_perplexity|Dec-only,0.85,9,4.0,one_power_bootstrap,0.35484516982180603,0.027479357101270863,0.3363628040940036,0.36661301001470165,0.030250205920698048,0,0.016662526903840503
NMT,log_perplexity|TEnc-LSTM,0.5,5,32.0,continuous_cert_1.0x,0.2819061251351839,0.09051584409558527,0.2795447891430581,0.2842674611273098,0.004722671984251692,0,0.003722152309413795
NMT,log_perplexity|TEnc-LSTM,0.5,5,32.0,continuous_cert_2.0x,0.31696857520487665,0.055453394025892555,0.24603934241827152,0.3878978079914818,0.1418584655732103,1,0.003722152309413795
NMT,log_perplexity|TEnc-LSTM,0.5,5,32.0,continuous_cert_3.0x,0.3242180569275611,0.048203912303208085,0.23212425568153802,0.4163118581735842,0.18418760249204616,1,0.003722152309413795
NMT,log_perplexity|TEnc-LSTM,0.5,5,32.0,continuous_cert_4.0x,0.3283517767473398,0.044070192483429416,0.21987187428456353,0.436831679210116,0.21695980492555247,1,0.003722152309413795
NMT,log_perplexity|TEnc-LSTM,0.5,5,32.0,one_power,0.39193954441104223,0.019517575180273028,nan,nan,,,0.003722152309413795
NMT,log_perplexity|TEnc-LSTM,0.5,5,32.0,two_power,0.27852459072884755,0.09389737850192165,nan,nan,,,0.003722152309413795
NMT,log_perplexity|TEnc-LSTM,0.5,5,32.0,one_power_bootstrap,0.39193954441104223,0.019517575180273028,0.3689909992568155,0.41410206357936885,0.04511106432255335,1,0.003722152309413795
NMT,log_perplexity|TEnc-LSTM,0.7,7,8.0,continuous_cert_1.0x,0.3188072659396106,0.05361470329115858,0.3168061977182436,0.3208083341609777,0.004002136442734117,0,0.005678820522730613
NMT,log_perplexity|TEnc-LSTM,0.7,7,8.0,continuous_cert_2.0x,0.32498123898577536,0.047440730244993845,0.27940708645308804,0.3705553915184627,0.09114830506537464,0,0.005678820522730613
NMT,log_perplexity|TEnc-LSTM,0.7,7,8.0,continuous_cert_3.0x,0.3287022497744397,0.04371971945632952,0.26905459984202207,0.3883498997068573,0.11929529986483522,1,0.005678820522730613
NMT,log_perplexity|TEnc-LSTM,0.7,7,8.0,continuous_cert_4.0x,0.3298327869544143,0.04258918227635489,0.25996464433260297,0.39970092957622566,0.1397362852436227,1,0.005678820522730613
NMT,log_perplexity|TEnc-LSTM,0.7,7,8.0,one_power,0.35850679166743255,0.013915177563336656,nan,nan,,,0.005678820522730613
NMT,log_perplexity|TEnc-LSTM,0.7,7,8.0,two_power,0.33631872831164605,0.03610324091912315,nan,nan,,,0.005678820522730613
NMT,log_perplexity|TEnc-LSTM,0.7,7,8.0,one_power_bootstrap,0.35850679166743255,0.013915177563336656,0.3435609585866536,0.3755758275863562,0.03201486899970263,1,0.005678820522730613
NMT,log_perplexity|TEnc-LSTM,0.85,8,4.0,continuous_cert_1.0x,0.3573683629372313,0.015053606293537913,0.35719465113611754,0.357542074738345,0.00034742360222744795,0,0.008931867630988929
NMT,log_perplexity|TEnc-LSTM,0.85,8,4.0,continuous_cert_2.0x,0.35142341640662694,0.020998552824142258,0.3127697651430441,0.3900770676702098,0.07730730252716567,1,0.008931867630988929
NMT,log_perplexity|TEnc-LSTM,0.85,8,4.0,continuous_cert_3.0x,0.3502989820196133,0.02212298721115591,0.29344116780716,0.4071567962320666,0.11371562842490657,1,0.008931867630988929
NMT,log_perplexity|TEnc-LSTM,0.85,8,4.0,continuous_cert_4.0x,0.350406003236387,0.022015965994382214,0.2806417115679684,0.42017029490480556,0.13952858333683715,1,0.008931867630988929
NMT,log_perplexity|TEnc-LSTM,0.85,8,4.0,one_power,0.3651150377666064,0.00730693146416278,nan,nan,,,0.008931867630988929
NMT,log_perplexity|TEnc-LSTM,0.85,8,4.0,two_power,0.35836269765599904,0.01405927157477016,nan,nan,,,0.008931867630988929
NMT,log_perplexity|TEnc-LSTM,0.85,8,4.0,one_power_bootstrap,0.3651150377666064,0.00730693146416278,0.3537098452859632,0.3756208723104666,0.02191102702450337,1,0.008931867630988929
IC,bird_5|MiX/B/16,0.5,12,1.3951612903225807,continuous_cert_1.0x,0.34838658998162814,0.00498193929345675,0.3446308165816992,0.3521423633815571,0.007511546799857882,0,0.021911551405203226
IC,bird_5|MiX/B/16,0.5,12,1.3951612903225807,continuous_cert_2.0x,0.35251337449346,0.009108723805288599,0.31398674260350734,0.39104000638341263,0.07705326377990529,1,0.021911551405203226
IC,bird_5|MiX/B/16,0.5,12,1.3951612903225807,continuous_cert_3.0x,0.35045317552654665,0.0070485248383752586,0.2833426686253155,0.4175636824277778,0.13422101380246232,1,0.021911551405203226
IC,bird_5|MiX/B/16,0.5,12,1.3951612903225807,continuous_cert_4.0x,0.34809378949855163,0.0046891388103802445,0.25461519215969264,0.4415723868374106,0.18695719467771799,1,0.021911551405203226
IC,bird_5|MiX/B/16,0.5,12,1.3951612903225807,one_power,0.3390016066392522,0.004403044048919169,nan,nan,,,0.021911551405203226
IC,bird_5|MiX/B/16,0.5,12,1.3951612903225807,two_power,0.3390016000530647,0.004403050635106709,nan,nan,,,0.021911551405203226
IC,bird_5|MiX/B/16,0.5,12,1.3951612903225807,one_power_bootstrap,0.3390016066392522,0.004403044048919169,0.33213969899766455,0.3482792651359251,0.016139566138260564,1,0.021911551405203226
IC,bird_5|MiX/B/16,0.7,17,1.1986143187066975,continuous_cert_1.0x,0.3483865899811406,0.004981939292969195,0.34463081658216155,0.35214236338011967,0.007511546797958124,0,0.021911551404872633
IC,bird_5|MiX/B/16,0.7,17,1.1986143187066975,continuous_cert_2.0x,0.3525133744935124,0.009108723805341001,0.31398674260443205,0.3910400063825928,0.07705326377816074,1,0.021911551404872633
IC,bird_5|MiX/B/16,0.7,17,1.1986143187066975,continuous_cert_3.0x,0.3504531755266802,0.007048524838508818,0.28334266862670254,0.4175636824266578,0.13422101379995527,1,0.021911551404872633
IC,bird_5|MiX/B/16,0.7,17,1.1986143187066975,continuous_cert_4.0x,0.3476088402183257,0.004204189530154334,0.25461519216096806,0.4406024882756833,0.18598729611471526,1,0.021911551404872633
IC,bird_5|MiX/B/16,0.7,17,1.1986143187066975,one_power,0.3400670140611491,0.0033376366270223,nan,nan,,,0.021911551404872633
IC,bird_5|MiX/B/16,0.7,17,1.1986143187066975,two_power,0.34006701360002795,0.0033376370881434414,nan,nan,,,0.021911551404872633
IC,bird_5|MiX/B/16,0.7,17,1.1986143187066975,one_power_bootstrap,0.3400670140611491,0.0033376366270223,0.3358034155140138,0.34579833670685634,0.00999492119284251,1,0.021911551404872633
